Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163
B4,19025,32688,47093,54221,58835,53704,44602,51576,55095,56896,39987,31822,32918,32617,33066,33111,34361,34915,35085,34022,34725,35867,34454,34607,34737,32029,30255,28875,26146,24611,22750,19430,17417,16497,15976,15781,15196,15416,14344,13938,14126,13214,12126,12801,11743,11751,11508,10837,10143,10168,9302,9575,9208,9580,9565,9785,9382,9980,10400,9603,10108,10121,10016,9170,9735,9827,9913,9673,10053,10436,10473,10231,10498,10680,10493,10317,10105,10758,10741,10971,10996,11295,12107,11291,11796,11657,11663,12313,12321,12671,12283,12808,13188,13341,12796,13008,12048,13185,13151,14279,12881,13145,14561,13461,13416,13780,14221,14791,14409,13741,14525,15181,14394,14766,13880,14296,15266,14321,15359,15156,15156,15553,15193,15626,15769,15014,14909,15524,15040,15834,15309,14901,15656,15466,15551,15486,15649,15933,16066,16388,15761,16584,16424,17157,16144,16099,16887,16589,15549,15966,16289,15534,16962,16601,16106,15409,16151,16537,16249,16551,16071,16999,17100
B5,19175,39921,101010,112268,170756,149639,131121,151966,152074,153867,155370,157693,163590,169500,182867,192834,200180,213305,225868,205013,246285,254281,269184,281517,276601,258857,232268,211824,199557,170308,132801,102720,82395,67942,61697,58350,53632,51670,50728,50582,47638,48006,48339,46063,44173,43971,43599,44568,42973,43128,43483,41884,40847,42410,41865,40915,40472,41200,40950,40612,40707,41520,40685,40770,39824,40296,39832,38731,39521,38754,39452,39159,38666,38138,39322,37705,38823,37576,37698,37808,37533,37493,37965,37989,37903,38655,37230,37811,37588,36668,39212,37676,37646,37498,37383,37856,36966,38613,37828,37736,38049,38123,37528,37979,38003,38258,38678,36808,37726,38809,35682,38438,39752,37043,36907,39024,39314,37548,38366,38404,37553,37130,38020,37863,38086,38621,37516,38861,39548,37271,37746,38479,38193,37142,37258,36643,38516,38731,37793,36995,37908,36820,36980,37153,37611,38286,36933,37486,38006,37162,36375,37721,36858,37648,37613,37176,38088,37823,37666,36398,35747,37336,37887
C1,25526,38241,43811,44135,47598,46200,43511,46753,49442,51223,51183,52993,52278,53878,51675,51771,50899,50172,50953,43646,48571,49914,51103,50004,49644,50227,47983,47523,48696,46620,44389,49412,53232,59846,65610,71180,75649,78961,77278,78233,73166,67379,64499,62053,57782,54377,52584,51282,46825,42408,40502,37843,37616,35427,33121,32431,31278,30475,30095,28297,27482,27985,28220,27064,26789,27161,26207,25326,27406,27269,27967,28305,28182,29585,30328,30162,31350,31643,34717,36558,36883,39524,41076,42461,43756,44418,47335,47896,48314,49965,49877,50402,50352,52036,52791,52474,52244,53421,53186,51983,52546,53061,53497,53507,53502,53836,54077,56769,58007,59371,60636,62383,62545,65881,66355,67532,68132,68798,69706,69273,69103,72313,70561,70014,70757,69571,69106,71242,68537,71683,68986,66496,69463,69012,67757,70104,68976,66748,68733,67934,67426,67810,68000,68022,66328,67964,67412,67734,66063,66881,66243,66188,67117,67286,68342,67544,65445,66011,66884,65495,67907,68695,66584
C2,23976,35800,39869,43065,46427,47190,45052,51035,51113,52634,54805,56015,56311,56380,55658,57564,57023,55856,57317,48639,56086,57699,57397,58130,59451,57032,56188,56669,53189,53934,61970,75701,89022,98212,108935,117801,125828,132858,137644,134794,132738,125846,115003,111323,106969,97877,95291,94118,86537,81877,76817,72835,70136,64955,62538,60537,57511,55848,58030,57152,53534,51926,50230,48824,47568,46649,46545,44594,44684,45897,45575,45632,46330,46042,45605,46439,47467,46780,49785,51586,51170,53011,55895,58650,59086,62309,62895,63696,65956,65515,69601,71147,73609,71941,74237,76632,77853,77480,79627,78784,79347,81053,78066,82160,84077,84011,87735,89387,92758,94162,97430,97736,103045,102086,103643,106552,106372,104664,106094,104770,106362,105718,103585,105100,101468,104096,102680,102454,100178,100092,100637,98027,96980,98031,97486,95659,96262,92823,95819,95530,93922,92383,91922,91634,92813,91737,91634,91146,91146,90052,89475,92513,91750,91379,92025,92298,91429,91124,92227,93401,93061,92298,92439
C3,25466,37800,45392,46266,49449,49782,44451,47763,49232,49782,48051,47070,48126,48935,48854,50570,52300,52013,54165,47098,52704,52036,52714,52836,54227,52339,51836,51065,50017,51263,49922,48791,50140,49439,52221,52096,52972,52070,51178,50993,47278,47896,45857,43491,41482,38389,35265,34113,32379,30573,28347,25658,25831,25374,24899,25989,28357,30265,31696,33979,35705,36578,38564,39179,40445,39605,41162,40342,43303,43376,42673,45182,46240,45692,45695,46649,48828,50122,52386,54287,54843,57874,57776,61602,61457,66522,67639,72754,72611,73061,76937,79855,79344,82610,83046,84860,88394,88630,90578,92148,90618,92064,93361,94232,95238,97355,95554,96895,97383,98928,98952,100169,99941,97461,101109,100825,102146,104454,102469,102957,103648,107831,104697,105210,103781,104717,105083,108522,104233,108011,107416,108529,105911,106481,108569,107824,109358,108812,108204,111970,111483,109754,111085,113901,111626,113223,115193,114585,113874,115743,115606,116853,116490,117251,115944,117359,116330,118688,118760,120535,121557,118901,117930
C4,20005,34139,48864,54381,61546,54184,48033,53377,57987,60319,44329,35214,33739,34948,36548,37213,38043,37486,38456,37443,37816,36898,37305,38238,37138,34530,32636,30835,29227,27352,22440,20250,18527,17347,16657,16091,16307,15606,15524,15089,15766,14694,13246,13431,13203,11761,12418,12417,11633,10898,10142,10675,10858,10200,10066,10076,10412,10810,10700,10613,10528,10711,10926,10131,11146,11157,10363,10443,10943,11406,11383,10761,11248,10970,11813,11157,11165,12058,11471,12461,12506,11995,12007,12241,12556,12647,12743,12693,12861,13361,14034,14309,12668,13951,14496,14049,14629,14655,14741,14049,14861,14565,15211,14961,15316,15161,14621,14741,15379,14911,15196,15201,15794,15196,16641,16056,16507,16691,16879,16417,16417,16484,15713,16417,16729,16844,16789,15894,16321,15924,16069,16542,16506,17566,16111,17227,17339,17454,17507,17698,17221,17744,17034,17997,18104,17849,17177,18299,18119,17766,17799,18144,17922,18422,17887,17929,18152,17847,18699,18142,18662,19019,17740
C5,19735,42563,105436,118056,176568,155550,141718,158097,161301,164226,165178,168855,173439,179772,191877,200783,212961,227252,240388,221394,260437,270501,284885,291139,296006,276694,249978,226612,212237,182093,142106,110589,86449,73977,64209,60171,57174,55863,52919,54435,51540,49407,50420,49204,49436,47193,47791,48810,47086,46400,46224,46577,46120,45552,44257,45487,43913,43121,44041,44854,44639,43421,43476,43081,43776,43637,41283,43324,42363,41845,42463,43871,42878,42280,42613,41637,41684,40797,41990,41420,41205,40034,41686,40740,40154,40076,41012,41203,41410,40380,41633,40987,41868,41230,40735,40387,41478,39834,40669,42508,42711,41634,41670,41270,41535,40749,40559,42651,42568,41960,41464,41110,41873,40565,41129,41125,41605,41300,42248,40675,41375,41212,40642,40585,41858,41833,41218,39392,40869,41082,41107,42100,40844,41154,40609,41375,40577,40962,41675,39996,40669,40632,40322,41335,40992,40347,41145,40947,40237,39463,40127,40442,40730,40349,40234,40417,41480,40094,41127,40269,39449,40597,40598
D1,26637,37010,42501,46266,47998,49972,44391,49705,50122,52263,54515,54034,55890,55449,54447,55793,58664,56886,54225,47928,51963,52376,53764,50895,47533,45245,49594,55518,64917,76642,83819,88093,93837,96059,99503,102181,105791,109445,111716,112081,112099,105788,96029,89617,83013,74483,70016,64711,60374,56576,50947,47638,46020,41380,40315,37233,35009,32546,32546,30758,28182,29325,26089,26254,24538,24070,23986,23366,23415,23168,22785,24193,24081,24303,24356,24070,25148,25491,25974,27815,27860,28729,31672,33287,34862,36374,36520,38851,38829,38979,40712,40457,41568,40310,42666,44239,43609,43185,44071,46770,46643,45676,45562,47563,47648,48063,49524,50565,50572,52446,52841,53356,56041,56093,55968,56874,55823,57509,56816,57544,57975,58842,58152,58125,58237,57182,57057,57572,57048,55931,56666,57479,56253,57213,57239,56404,55536,55900,57444,56465,55608,55301,55431,55483,55741,55115,55193,55335,55065,54071,56216,54280,54718,54607,56354,54705,55168,55083,55806,55678,55438,55726,55917
D2,23226,33629,38429,41704,43535,44939,42180,47753,47731,51163,52254,56375,57671,58571,61602,61817,62267,63021,60779,52761,57337,59050,57927,58670,57489,50558,48313,56979,66678,78123,91196,101798,110667,119770,120310,121216,120591,111698,104377,96372,90112,86667,77661,72921,67119,64495,57927,56065,53479,46470,43913,41925,39226,35947,35642,34432,34849,31646,31415,31238,31283,31516,30741,31126,31171,29761,31428,32249,32748,33562,33139,34607,35505,36468,38471,39136,40914,42598,44152,46983,48599,50219,53103,54958,55263,56405,58282,56731,58290,61672,60104,61069,63071,62923,64359,65623,67705,67461,66916,68855,70960,70423,73051,72831,74778,75853,78956,82370,82968,82961,88110,87775,89520,89212,91108,89742,92616,91759,92007,92906,92055,90280,90060,88291,88954,89540,88143,88509,87264,87197,86361,87165,85768,83315,85623,86209,84239,83493,84857,84779,84482,84935,84264,83336,84415,84689,84817,82197,83869,84646,83238,84435,84993,86474,87530,86642,86794,87080,87072,87265,87135,87793,87804
D3,24986,38431,46663,48258,51090,49862,45202,51836,53514,51093,51423,50441,52408,52667,54057,55593,58164,57837,57207,51911,54465,57369,58798,56669,57409,57882,55548,55808,55360,55495,55606,54435,54843,53702,55343,52476,54462,51410,52219,49692,50179,46115,44607,41170,38851,36908,34725,35224,31138,29463,28377,27899,25621,24973,24709,24398,27086,29475,32066,34329,35315,35347,37913,39249,39224,40946,40822,41743,43443,45217,46005,45782,49092,48153,48616,49921,52180,53114,54778,55858,59045,62097,62749,65035,67822,66773,70031,72273,73232,73992,77088,77393,79304,79267,81044,80085,81987,84226,81999,84580,86474,84857,85473,88476,88441,87755,86574,88276,88984,90238,91804,93121,91772,92555,93030,94498,94377,94813,96202,94818,96099,96967,97488,100955,99846,99170,98875,99881,100889,100212,102760,104214,102026,105310,104214,103268,106394,107280,108574,106764,109881,109713,111876,112359,115842,113753,117536,114975,116217,115162,115135,117023,116120,118723,118468,119412,120325,117406,120673,121297,120876,119492,119873
